time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.24,2.0,2.0778692,0.03077356,0.044309963,333.02393,1.0,1.0
0.24,2.2,2.2227967,0.01665755,-0.080631614,165.11731,1.0,1.0
0.24,2.4,2.429603,0.022219298,-0.10937914,667.5857,1.0,1.0
0.24,2.6,2.5824344,0.07916898,-0.13151345,789.3815,1.0,1.0
0.24,2.8,2.8594277,0.0083156265,0.119320095,194.2471,1.0,1.0
0.24,3.0,2.8530707,0.074567765,0.22053751,861.99554,1.0,0.3125
0.26,0.0,0.03060962,0.021465076,-0.0067858105,9.7827215,1.0,1.0
0.26,0.2,0.1982482,0.0016810872,0.010235236,6.1873684,1.0,1.0
0.26,0.4,0.4296463,0.04376705,0.023262182,14.188312,1.0,1.0
0.26,0.6,0.57123065,0.02195318,-0.064145416,22.146353,1.0,1.0
0.26,0.8,0.81949216,0.03526559,-0.040775683,10.905066,1.0,1.0
0.26,1.0,1.0721397,0.09440377,0.050274964,61.664818,1.0,1.0
0.26,1.2,1.2175508,0.069398835,-0.055222735,53.94715,1.0,1.0
0.26,1.4,1.3230957,0.04197199,-0.020283662,46.884876,1.0,1.0
0.26,1.6,1.5299637,0.045480616,-0.101110525,131.75336,1.0,1.0
0.26,1.8,1.8157248,0.02061732,-0.01587087,241.63263,1.0,1.0
0.26,2.0,2.0059457,0.014294698,0.018204737,310.65677,1.0,1.0
0.26,2.2,2.257708,0.034083825,-0.06208442,158.96933,1.0,1.0
0.26,2.4,2.3723826,0.03165787,0.030409768,480.10596,1.0,1.0
0.26,2.6,2.5825956,0.08433504,0.14749923,385.35992,1.0,1.0
0.26,2.8,2.8759933,-0.007989608,0.33348066,124.66155,1.0,0.0
0.26,3.0,2.8275213,0.032500234,0.17450877,350.30115,1.0,0.625
0.28,0.0,0.025570953,0.018802747,-0.024180803,12.556527,1.0,1.0
0.28,0.2,0.19476792,0.005052099,0.0027825506,4.627678,1.0,1.0
0.28,0.4,0.43340445,0.04063048,0.02890859,15.44998,1.0,1.0
0.28,0.6,0.5741245,0.016244218,-0.0489123,18.930714,1.0,1.0
0.28,0.8,0.80090797,0.03869294,-0.012142697,14.372663,1.0,1.0
0.28,1.0,1.0261878,0.09498297,0.011452895,41.37294,1.0,1.0
0.28,1.2,1.2749927,0.07057823,-0.12423524,65.15848,1.0,1.0
