time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.14,4.6,-0.0023256023,-0.002386395,0.017901987,4.410481,1.0,0.0
0.14,4.8,-0.002466968,-0.005254914,0.012302884,7.227863,1.0,0.0
0.14,5.0,-0.004189042,-0.003201777,0.050799187,8.009805,1.0,0.0
0.16,0.0,-0.027087312,-0.013654068,0.010408528,13.840775,1.0,1.0
0.16,0.2,0.17079884,-0.016398013,0.15047896,7.5040016,1.0,1.0
0.16,0.4,0.38221827,-0.019330168,0.05975665,10.715416,1.0,1.0
0.16,0.6,0.5975691,-0.022074968,0.041289546,20.416372,1.0,1.0
0.16,0.8,0.8342835,-0.0018994976,0.013744013,53.524162,1.0,1.0
0.16,1.0,1.0530124,0.01549205,-0.051042635,49.021397,1.0,1.0
0.16,1.2,1.230739,0.026593514,-0.085080445,92.570175,1.0,1.0
0.16,1.4,1.4183848,0.017557666,-0.11802095,144.91583,1.0,1.0
0.16,1.6,1.6300142,0.013166184,-0.115014195,164.28894,1.0,1.0
0.16,1.8,1.8414006,-0.03611797,-0.18025509,187.49957,1.0,1.0
0.16,2.0,2.0079482,-0.07737014,-0.22129706,358.6746,1.0,0.0
0.16,2.2,2.1537712,-0.07387557,-0.084485576,156.25136,1.0,1.0
0.16,2.4,2.354664,-0.07747556,-0.14272925,182.45212,1.0,1.0
0.16,2.6,2.4990602,-0.07375553,0.16882503,328.9801,1.0,0.625
0.16,2.8,2.712226,-0.07055935,0.027358519,493.8095,1.0,1.0
0.16,3.0,2.8602984,-0.10015185,-0.34355965,465.55307,1.0,0.0
0.16,3.2,3.0533142,-0.09157246,-0.11059051,285.16913,1.0,1.0
0.16,3.4,3.1874075,-0.08389415,-0.021073721,319.17773,1.0,1.0
0.16,3.6,3.2736104,-0.099914834,0.07937385,350.13275,1.0,1.0
0.16,3.8,3.3466172,-0.09864567,0.1264906,361.455,1.0,0.0
